age,gender,region,tenure_years,annual_income,credit_score,account_balance,monthly_salary_deposit,avg_monthly_spend,num_products,has_credit_card,has_mortgage,has_personal_loan,has_investment_account,credit_card_monthly_usage,mobile_app_logins_per_month,online_banking_logins_per_month,branch_visits_per_quarter,customer_service_calls,complaints_last_12m,late_payment_count,balance_change_6m_pct,transaction_count_monthly,digital_engagement_score,churn
61,Female,Ontario,1,135375.96,782,75432.98,11767.72,1953.6,3,1,0,0,1,332.68,29,13,8,3,0,0,1.92,33,23.4,0
75,Male,Ontario,15,123219.34,634,26752.18,10302.16,3828.77,1,1,0,0,0,3852.5,15,10,2,5,1,0,-16.31,15,13.25,0
74,Male,Ontario,3,111458.75,783,35796.86,9504.55,50.0,2,0,0,0,0,0.0,3,32,6,4,2,0,5.63,35,13.15,0
69,Female,Ontario,3,96131.58,619,25773.97,7378.84,4173.22,2,1,1,0,0,1866.18,1,26,3,0,0,0,-13.1,14,9.75,0
40,Male,Ontario,2,107888.67,674,31754.42,9446.39,199.13,2,1,0,1,0,351.4,4,28,0,5,0,1,-18.79,10,12.4,0
27,Female,Alberta,13,81193.4,786,9474.61,5770.49,1544.32,1,1,1,0,1,3237.24,4,7,8,2,1,1,-6.21,35,5.05,0
36,Male,British Columbia,9,84991.15,812,24237.23,7622.68,2998.06,2,1,0,0,0,2808.3,33,23,2,2,0,0,-11.86,25,29.5,0
62,Male,British Columbia,6,57182.62,806,0.0,5136.73,2029.25,2,1,0,0,0,0.0,5,13,1,1,1,0,-15.73,21,7.8,0
44,Male,Ontario,6,50132.74,574,23368.2,3747.41,1974.93,2,1,0,1,1,2220.83,11,27,6,1,1,1,-10.84,58,16.6,0
51,Female,Ontario,3,102647.47,611,58260.17,8828.83,2586.89,2,1,0,0,0,2274.69,22,23,6,2,2,0,-6.04,37,22.35,0
60,Male,Ontario,1,79370.46,720,50727.86,7339.82,4764.56,2,1,1,1,0,2600.25,40,33,8,2,0,0,-9.32,30,37.55,0
57,Female,Ontario,7,122389.96,734,11095.54,9432.34,50.0,1,1,0,0,0,2275.01,31,14,0,3,0,0,7.4,40,25.05,0
54,Male,Ontario,6,63667.84,592,85112.8,5047.63,974.76,3,1,0,0,0,1629.04,7,9,1,1,0,0,0.19,41,7.7,0
42,Male,British Columbia,8,98633.18,663,0.0,8462.85,4611.93,3,1,1,0,0,1443.79,30,21,8,0,1,0,-16.8,28,26.85,1
73,Female,Quebec,5,132972.6,624,88319.17,11565.4,1920.02,3,0,1,0,0,0.0,23,31,3,1,0,0,14.67,39,25.8,1
63,Male,British Columbia,6,106817.32,605,25311.67,8208.94,1110.29,2,1,0,0,0,3184.35,13,9,5,1,0,0,-15.96,46,11.6,0
35,Male,Ontario,12,108359.05,503,77533.21,9333.67,3814.97,1,1,0,1,1,1976.43,8,6,0,3,0,0,4.4,25,7.3,0
73,Female,Ontario,13,68264.31,683,43620.83,5701.06,2772.31,1,1,1,0,0,3314.1,4,18,0,1,0,1,1.44,41,8.9,0
53,Female,Alberta,9,113417.33,725,32645.91,9223.16,1096.02,3,1,0,1,0,2197.62,23,23,4,4,0,1,-4.31,47,23.0,0
30,Male,Quebec,7,114754.99,713,58311.78,10076.23,2046.64,1,1,1,1,1,3808.22,1,25,8,4,1,0,-5.37,44,9.4,0
54,Male,Ontario,10,88903.44,539,68333.41,7360.26,1388.02,1,1,0,1,0,0.0,5,15,1,1,0,3,-2.32,15,8.5,0
40,Female,Ontario,8,90289.7,738,12634.59,8090.52,2880.82,4,1,1,0,1,1144.39,38,14,5,0,1,0,-25.26,23,29.6,0
33,Male,Quebec,4,126633.83,664,25084.21,9476.61,2642.9,2,1,0,0,1,1144.35,5,5,4,1,0,0,-37.52,20,5.0,0
62,Female,British Columbia,6,80141.98,597,60381.65,6682.09,2764.29,2,0,0,0,0,0.0,33,28,5,0,0,0,-1.03,40,31.25,0
30,Male,Alberta,10,60866.06,777,42118.74,5058.53,2802.09,2,1,0,0,0,0.0,16,6,7,1,1,0,-6.08,21,12.5,0
70,Male,British Columbia,0,168434.17,629,43351.84,14348.53,1783.1,3,0,1,1,0,0.0,6,24,7,2,0,0,12.19,23,12.3,0
21,Female,Alberta,4,78428.86,706,23321.22,6391.3,3411.6,3,1,0,0,0,0.0,38,20,4,2,0,1,-7.85,32,31.7,0
53,Male,Ontario,8,73235.86,683,57364.5,5579.25,1555.42,1,1,1,0,0,2851.04,21,33,4,1,1,0,-13.32,39,25.2,0
72,Male,British Columbia,4,104109.26,739,35664.42,8018.76,1238.31,1,1,0,0,0,748.98,38,1,5,0,1,0,16.12,44,25.05,1
39,Female,Ontario,4,71397.19,618,46915.03,5010.96,4137.86,2,1,0,0,1,367.01,30,10,3,1,0,0,-18.04,24,23.0,0
75,Female,Ontario,11,70281.06,664,65944.25,5875.29,3757.79,1,1,0,0,0,2541.1,3,6,7,1,0,0,-2.64,27,4.05,0
40,Male,Alberta,5,118112.01,714,62562.86,9652.44,1516.02,1,1,1,0,0,2287.8,42,10,8,0,1,0,11.14,34,30.8,0
35,Female,Quebec,8,75034.81,684,26035.47,5019.55,2144.08,2,1,0,0,0,2145.22,43,6,0,3,0,0,-8.05,38,30.05,0
60,Female,Alberta,15,75042.35,731,2095.14,5872.31,4311.18,3,1,0,1,1,2224.37,0,4,8,2,0,0,-21.9,41,1.4,1
47,Male,Quebec,0,96838.36,769,42105.94,8008.89,3550.12,2,1,0,0,0,1366.1,21,14,6,3,0,1,-9.89,45,18.55,0
46,Female,Ontario,11,75327.5,661,36448.64,6007.85,4735.84,1,0,1,1,0,0.0,12,6,0,3,0,1,10.75,12,9.9,0
44,Female,Quebec,5,96748.95,728,59194.3,7392.49,3285.35,1,1,1,1,0,2171.86,27,3,0,2,0,0,-10.33,17,18.6,0
52,Female,British Columbia,6,89408.79,720,39773.26,7246.78,851.15,2,1,0,0,0,484.44,9,29,0,1,0,0,1.76,42,16.0,0
32,Female,Alberta,15,86095.71,756,98443.17,6826.14,259.08,2,1,1,0,0,773.64,3,25,4,1,0,0,21.77,33,10.7,0
28,Male,Ontario,5,48363.88,566,61808.89,3183.01,3076.93,2,1,0,1,0,1657.6,18,6,1,2,0,1,10.53,35,13.8,0
59,Male,Quebec,11,69450.16,797,50667.29,6956.14,2566.97,1,1,0,0,0,1914.91,15,5,6,3,1,0,-10.99,30,11.5,0
54,Male,British Columbia,2,81644.11,575,0.0,6149.53,2002.56,1,1,0,0,0,3220.58,11,30,4,3,0,0,21.14,46,17.65,1
56,Male,Alberta,10,80910.96,717,24755.97,5858.57,2404.72,2,1,0,1,1,1595.62,4,22,3,2,0,1,17.49,1,10.3,0
69,Female,Quebec,7,81339.78,766,26569.35,6628.81,2285.34,1,1,1,0,0,3265.17,37,32,0,2,0,0,11.31,27,35.25,0
62,Male,Ontario,12,85554.41,754,68526.32,7097.56,4232.54,1,1,0,1,0,1740.73,35,32,6,2,1,0,6.35,22,33.95,0
25,Female,Alberta,12,59871.82,644,0.0,5327.32,3589.48,3,1,0,0,0,2067.85,7,31,2,2,0,0,-7.58,30,15.4,1
45,Female,British Columbia,8,96416.36,785,37738.38,8006.16,124.14,3,0,1,1,0,0.0,40,0,4,1,0,0,4.32,39,26.0,0
64,Female,Alberta,1,90623.82,719,6502.29,6718.44,3492.45,1,1,1,0,0,784.8,13,28,2,3,0,0,6.68,40,18.25,1
53,Female,Quebec,7,96614.91,640,23367.8,8402.43,3180.06,3,1,0,1,1,2121.11,29,14,5,0,1,0,-6.51,14,23.75,0
66,Male,Alberta,12,90718.3,596,60030.6,6937.98,1224.34,3,1,0,0,1,1875.97,32,32,5,0,0,0,11.76,35,32.0,0
69,Female,Ontario,0,29076.93,680,46759.68,2178.77,4186.21,1,1,1,0,0,2482.78,15,18,6,1,1,1,-15.85,13,16.05,1
49,Female,British Columbia,11,114749.96,765,27508.31,9691.1,5253.56,1,1,0,0,0,1842.69,1,5,8,1,0,0,16.69,11,2.4,0
23,Male,Quebec,6,114801.28,768,56301.47,10639.56,1684.94,4,1,0,1,0,297.84,5,23,3,0,0,0,-15.6,23,11.3,0
48,Male,Quebec,8,63848.64,722,59483.23,4888.42,2860.53,3,1,1,1,0,2660.43,18,28,4,2,0,1,1.93,49,21.5,0
52,Male,Alberta,3,52470.92,670,17222.31,5608.29,4831.24,4,1,0,0,0,20.57,14,33,1,0,1,0,-1.97,36,20.65,0
62,Male,British Columbia,11,28877.55,705,7401.12,2213.02,2275.73,1,0,0,0,0,0.0,37,23,4,4,0,1,-14.49,26,32.1,1
73,Female,Ontario,15,124845.34,694,30008.8,9675.39,2254.44,1,1,0,1,1,3533.39,0,5,5,1,2,0,5.06,40,1.75,1
26,Male,British Columbia,15,64915.57,821,60088.55,4606.47,3418.34,2,1,0,0,1,684.15,19,3,4,2,0,0,-14.05,35,13.4,0
53,Female,Alberta,13,62976.24,787,7434.49,5353.94,4743.3,3,1,0,0,1,2042.14,33,23,4,1,3,2,5.03,20,29.5,0
64,Female,Ontario,0,50046.62,685,29686.79,3496.68,1522.02,2,1,1,1,0,2296.49,2,13,4,2,3,0,0.59,37,5.85,1
46,Male,Quebec,4,61092.6,674,82522.43,4933.05,50.0,2,1,1,0,0,2610.75,37,33,5,0,0,0,-23.21,24,35.6,1
42,Male,Quebec,14,49945.49,565,54876.32,4545.3,1537.9,1,1,0,0,0,885.51,43,25,1,2,0,0,-0.35,56,36.7,0
40,Male,Alberta,4,69848.74,668,35868.54,5298.74,1987.33,3,1,0,0,0,870.11,2,12,0,1,0,1,-5.24,38,5.5,0
47,Female,Quebec,4,102893.68,630,56587.9,9057.38,898.33,2,1,1,0,0,2677.26,28,17,8,2,1,0,-4.89,20,24.15,0
67,Male,Ontario,4,99451.41,653,5766.04,7486.92,1836.6,2,1,1,0,0,1910.67,33,9,4,2,0,2,0.42,29,24.6,0
68,Female,Quebec,14,169888.63,692,54231.57,13367.87,1860.16,1,1,0,0,1,3091.24,15,20,7,1,0,0,2.29,56,16.75,0
35,Female,Ontario,15,111556.1,663,36541.63,9965.62,3262.87,2,1,0,0,1,843.59,25,11,0,3,0,0,8.82,18,20.1,0
51,Male,Ontario,6,106609.2,590,0.0,8619.34,1975.39,2,1,0,0,0,996.79,18,18,6,0,1,1,2.28,45,18.0,0
44,Male,British Columbia,15,94258.01,728,0.0,8780.98,1298.38,2,1,1,0,0,3683.81,0,7,1,1,1,1,-2.53,30,2.45,0
47,Male,British Columbia,6,137793.69,682,33694.5,11217.65,3549.89,2,1,0,0,1,1075.51,37,13,3,5,1,0,7.01,21,28.6,0
22,Female,Alberta,2,102416.45,775,48299.28,9371.36,322.25,2,1,1,0,0,1692.06,41,8,7,2,1,0,7.85,16,29.45,0
64,Female,Alberta,0,93916.39,644,12230.17,7763.66,2484.85,1,1,1,0,0,2357.07,40,27,4,3,0,0,6.29,44,35.45,0
67,Male,Ontario,4,92052.74,712,22020.47,7479.32,2448.35,1,1,0,1,0,1088.15,36,32,7,2,0,1,10.73,40,34.6,0
34,Male,Alberta,3,66456.32,827,10638.09,5936.48,1369.33,1,1,1,0,0,0.0,2,34,4,2,0,0,16.93,12,13.2,0
70,Female,Ontario,11,128954.92,656,63900.29,10572.6,3707.45,1,1,0,1,1,211.75,44,20,5,2,0,0,15.5,46,35.6,0
53,Male,Quebec,5,121764.54,813,45832.5,9974.52,5800.31,1,1,0,0,0,2718.45,42,22,6,4,1,0,-25.96,41,35.0,0
41,Female,Ontario,12,95546.62,597,95450.4,7581.06,4142.01,1,1,0,0,1,534.96,17,16,8,1,0,0,0.41,29,16.65,0
46,Male,Ontario,13,33297.48,641,87318.79,3439.04,2350.67,2,1,0,1,0,2556.12,12,21,5,1,0,2,-4.06,46,15.15,0
40,Male,Alberta,0,129274.91,772,26743.92,11527.67,2596.92,1,1,1,0,0,2110.74,36,21,7,3,0,0,9.14,52,30.75,0
37,Male,Quebec,5,72939.73,753,67126.87,5487.87,705.02,2,0,0,0,0,0.0,31,5,6,3,0,0,2.71,24,21.9,0
60,Male,Ontario,1,66076.49,714,88249.29,6191.79,2292.26,1,0,1,0,1,0.0,23,29,1,2,0,0,5.86,38,25.1,0
68,Male,Ontario,3,42201.91,578,10209.63,3186.24,3056.23,2,0,0,0,1,0.0,18,11,5,2,1,0,2.8,33,15.55,0
72,Male,Quebec,13,61412.86,702,19810.69,5683.21,2030.25,1,0,1,0,0,0.0,35,8,6,3,1,0,-17.57,2,25.55,0
55,Male,British Columbia,13,91181.59,640,45882.18,7358.37,3628.28,2,1,1,1,1,2230.13,33,2,6,2,0,0,4.26,18,22.15,0
52,Male,Ontario,3,105960.0,661,4315.68,7837.52,50.0,2,1,0,0,0,1183.05,40,1,1,5,0,0,25.09,28,26.35,0
24,Male,Ontario,2,107242.22,668,22657.67,9500.54,3273.53,2,1,0,0,0,96.86,19,33,0,0,0,0,15.37,46,23.9,0
59,Female,Alberta,0,97230.6,598,20359.78,8202.61,2891.05,2,1,0,0,0,3497.5,14,0,6,0,0,0,16.17,59,9.1,0
30,Male,Quebec,11,126104.72,824,127306.36,10028.32,956.43,2,1,0,0,0,695.23,33,6,3,0,0,1,-17.61,52,23.55,0
27,Male,Quebec,14,88625.15,684,19766.29,7440.33,3021.46,1,1,0,0,0,1169.49,5,23,0,3,0,0,13.18,34,11.3,0
48,Female,British Columbia,5,84409.22,677,40572.06,8199.8,2314.52,1,1,0,1,0,3978.73,37,2,1,1,0,0,-31.71,37,24.75,1
24,Male,British Columbia,8,96724.23,651,54239.57,7959.97,2448.59,2,1,0,0,1,2472.45,42,29,8,0,0,0,-12.98,42,37.45,0
29,Male,Ontario,12,77682.55,752,19554.73,6737.97,3217.61,2,1,1,1,1,910.14,39,25,5,1,1,0,17.93,33,34.1,0
64,Male,Alberta,3,70734.18,632,41561.86,6458.61,50.0,2,1,0,0,0,291.18,42,11,0,1,0,0,-8.57,31,31.15,0
33,Male,Alberta,1,71054.61,721,44004.77,5964.64,5377.93,2,1,0,1,0,3582.26,18,30,6,3,0,0,3.26,33,22.2,0
40,Male,Alberta,3,90112.32,604,42516.11,7757.17,3802.84,1,0,0,0,1,0.0,25,20,6,2,0,0,-5.57,49,23.25,0
44,Male,Quebec,3,123954.13,739,36959.87,10077.96,4425.02,3,1,1,0,1,1150.82,20,11,3,4,0,0,-10.73,51,16.85,0
43,Male,Quebec,2,99917.82,572,53594.43,8193.74,2570.82,1,1,0,1,0,2255.27,43,21,6,0,0,2,-3.81,27,35.3,0
57,Male,Quebec,15,92555.53,704,55154.53,7975.44,4374.93,1,1,1,0,0,2617.1,6,11,5,2,0,0,10.13,34,7.75,0
35,Male,Alberta,9,105432.11,654,96586.06,8956.09,2473.86,2,1,0,1,0,4156.54,25,15,3,2,1,1,2.98,41,21.5,0
69,Female,Ontario,10,91016.51,728,43903.23,7647.87,1668.13,1,1,0,1,0,3016.68,11,14,7,0,1,0,-2.74,9,12.05,0
64,Male,British Columbia,11,101320.75,629,33713.79,7539.54,957.57,1,1,0,0,0,2949.7,39,31,0,0,0,0,-2.74,41,36.2,0
34,Male,Ontario,5,129132.22,767,24881.69,12509.58,5038.26,1,1,0,0,0,4001.62,15,28,5,3,0,0,10.52,20,19.55,0
66,Male,Alberta,9,148785.03,718,27431.72,13190.39,864.63,2,1,0,0,0,1713.79,32,3,5,0,2,0,-3.51,16,21.85,0
44,Male,Ontario,2,67947.57,752,26376.49,5270.19,6032.31,2,1,0,1,0,1662.0,35,8,0,1,1,0,-4.52,32,25.55,1
21,Female,Alberta,9,127683.19,850,56492.11,10150.06,2260.93,2,1,0,1,1,2281.97,13,7,5,1,0,0,10.98,39,10.9,0
59,Female,Ontario,7,121646.59,821,28450.19,9823.01,904.77,2,1,1,1,0,1291.55,33,20,0,0,0,0,2.52,57,28.45,0
39,Female,Ontario,13,124535.91,571,23706.06,9313.4,4059.99,1,0,0,0,0,0.0,4,0,2,2,2,0,15.52,25,2.6,1
46,Female,Ontario,12,106270.81,618,73257.85,8572.95,3802.55,1,1,0,0,0,996.45,7,8,2,2,0,0,-18.64,31,7.35,0
45,Female,Ontario,2,69161.63,570,65091.83,6183.53,118.53,1,0,0,0,0,0.0,41,18,1,2,1,0,17.46,31,32.95,0
64,Female,Ontario,3,151041.76,669,17083.82,12067.5,1590.76,1,1,1,1,0,2297.69,5,13,1,1,0,0,-8.04,29,7.8,1
64,Male,Alberta,2,89114.12,692,15694.89,7031.6,718.59,3,0,0,0,0,0.0,16,8,1,3,1,1,10.76,38,13.2,0
29,Female,Ontario,13,103509.32,478,0.0,8308.92,4659.26,1,1,1,0,1,2812.35,30,30,4,2,0,0,-4.18,49,30.0,0
39,Female,British Columbia,2,66349.6,638,9988.18,5535.55,3041.49,1,1,1,0,0,206.96,7,24,3,1,1,0,-22.59,23,12.95,0
45,Female,Alberta,6,71407.51,677,0.0,6953.26,4688.65,2,1,0,0,0,778.94,0,32,7,3,0,1,-32.65,35,11.2,0
44,Female,Ontario,4,104306.31,596,34899.26,7341.7,352.38,1,1,0,0,0,2331.7,30,23,0,2,2,1,10.31,50,27.55,0
63,Male,Ontario,8,112416.09,658,45112.64,8897.65,3679.16,1,1,0,1,0,1993.91,24,31,3,1,0,1,-11.42,28,26.45,1
55,Female,Quebec,12,102193.0,550,53067.45,8281.12,1715.85,2,1,0,0,1,943.89,26,20,5,2,0,0,-4.07,6,23.9,0
30,Male,British Columbia,5,76373.26,762,28293.34,4851.38,50.0,1,0,0,1,0,0.0,36,10,6,2,0,1,-5.53,29,26.9,1
60,Female,British Columbia,4,118504.98,735,8406.11,9312.12,1317.34,1,1,1,0,0,1071.25,15,23,8,3,0,1,-11.01,53,17.8,1
33,Male,Alberta,11,71959.04,776,33134.7,6855.45,1196.61,1,1,1,0,0,1124.33,2,21,1,4,3,0,17.26,12,8.65,0
37,Female,British Columbia,9,66686.89,656,18822.86,5120.09,2551.11,1,1,0,0,0,1894.29,14,13,7,0,0,1,-5.12,36,13.65,1
27,Male,Alberta,14,54888.91,631,9819.48,5522.65,3651.83,3,1,0,0,0,0.0,22,13,2,1,1,0,-5.45,29,18.85,0
36,Male,Ontario,7,39084.53,783,51275.57,4169.39,2046.62,3,1,0,0,0,335.17,0,18,0,2,0,1,-4.77,12,6.3,0
47,Male,Alberta,1,131706.87,515,942.54,11843.18,193.32,1,1,0,0,0,1304.73,21,31,6,2,0,0,-3.23,37,24.5,0
59,Male,Ontario,10,58748.53,796,53407.04,5140.86,2761.15,3,1,1,0,0,2971.07,29,10,7,2,0,0,-1.23,9,22.35,0
29,Female,Alberta,14,147294.77,666,72470.55,11529.8,3820.74,1,0,1,0,0,0.0,16,1,5,2,0,0,21.12,14,10.75,0
24,Male,Quebec,12,103592.56,654,50631.38,8709.7,1962.26,3,1,1,0,0,2323.36,40,32,3,1,1,0,15.39,32,37.2,0
72,Female,Quebec,15,109306.74,661,77361.49,6916.41,1933.34,1,0,0,0,1,0.0,23,8,2,0,1,1,10.28,1,17.75,0
